2022,2021,Company,Ownership,Industry,Total_income,Net_income,Profit,Profirt_rank,% of total income,Interest_cost,interest_cost (% of Ebitda),Cash and Bank Balance,Total_debt,Debt-Equity_ratio,Total_Assets,Total_Assets_Rank,Networth,Networth_Rank,RONW(%),ROCE(%),Employees(in nos),"T12M AVG
M-Cap",TSR(%)
1,1,Reliance Industries,Mukesh Ambani,Oil & Gas,739518,699962,60705,1,8.21,14584,13.21,36178,319158,0.41,1222627,8,779485,1,9.17,9.36,342982,1681013,0.78
2,0,LIC,GoI,Financial Services,724744,723606,4125,57,0.57,0,0,44724,0,0,4182536,2,11336,130,45.28,0.31,0,433115,-30.85
3,3,Indian Oil Corporation,GoI,Oil & Gas,607365,589336,25102,8,4.13,4301,9.23,1820,132020,0.99,272852,27,133535,8,20.97,15.29,31254,108577,-13.7
4,4,ONGC,GoI,Oil & gas,502474,491270,45522,2,9.06,5696,7.32,6841,121986,0.47,444489,17,259503,3,20.52,14.62,27165,188068,-6.05
5,2,State Bank of India,GoI,Banking,406973,289973,35374,6,8.69,156194,0,398905,4536571,0,5371426,1,282210,2,13.61,0.69,245652,447533,13.04
6,6,Bharat Petroleum Corporation,GoI,Oil & Gas,355772,346791,11682,26,3.28,2606,13.62,2237,64534,1.24,118219,55,51906,33,22.15,16.37,8594,76165,-24.86
7,5,Tata Motors,Tata Group,Auto,280027,278454,-11441,499,0,9312,38.83,40669,146449,3.29,221106,38,44561,41,0,1.04,25588,160911,-15.05
8,9,Tata Steel,Tata Group,Iron & Steel,253797,243959,40154,3,15.82,5462,8.73,15899,75561,0.66,207633,40,113546,10,44.54,29.16,35927,136734,-21.69
9,13,Hindalco Industries,Aditya Birla Group,Metals & Mining,206795,195059,13730,19,6.64,3768,13.64,17392,64486,0.82,152037,44,78191,17,18.97,15.45,21151,101778,-14.3
10,7,Tata Consultancy Services,Tata Group,Infotech,195772,191754,38327,4,19.58,784,1.48,18221,7818,0.09,100023,58,88651,15,44.13,53.97,592195,1265497,-6.89
11,10,HDFC Bank,"Diversified
                                              *",Banking,167695,135936,38053,5,22.69,58584,0,155386,1784970,0,2122934,3,247326,4,16.69,1.94,141579,802745,-5.72
12,11,Larsen & Toubro,Diversified,Capital Goods,160962,156521,8669,30,5.39,9235,37.96,18953,125292,1.52,221833,37,82408,16,13,11.3,50267,252441,14.15
13,8,ICICI Bank,Diversified,Banking,157536,95407,25110,7,15.94,41167,0,183126,1252969,0,1756355,4,178824,6,15.47,1.51,105844,541104,13.62
14,24,JSW Steel,Savitri Devi Jindal,Iron & Steel,152420,146371,20665,11,13.56,4968,12.98,17383,72208,1.07,144039,47,67297,21,37.09,26.82,12398,156564,0.95
15,12,HDFC,"Diversified
                                              *",NBFC,144938,135926,22595,9,15.59,27230,0,2629,507460,2.82,700090,14,179853,5,14.29,8.59,6214,439224,-13.39
16,14,NTPC,GoI,Power,137580,132669,16676,15,12.12,9376,23.29,4458,210707,1.56,356845,22,135374,7,12.99,9.01,0,141394,35.22
17,20,Vedanta,Anil Agarwal,Metals & Mining,137381,132732,18802,12,13.69,4797,10.89,15592,53581,0.82,145680,46,65383,26,37.14,29.37,8129,118262,17.59
18,16,Infosys,"Diversified
                                              *",Infotech,123936,121641,22110,10,17.84,200,0.64,17472,5474,0.07,83998,65,67011,22,32.34,39.66,314015,684684,-7.58
19,15,Bharti Airtel,Mittal brothers & family,Telecommunication,122048,116547,4255,54,3.49,16616,29.31,13494,169678,2.55,274268,26,66554,23,11.43,11.26,14774,409262,17.31
20,17,Coal India,GoI,Metals & Mining,111310,109714,17358,13,15.59,541,2.19,29179,3514,0.08,122082,53,43143,42,43.63,20.59,251320,115608,59.72
21,30,Steel Authority of India,GoI,Iron & Steel,105033,103477,12243,23,11.66,1698,8.09,786,17284,0.32,80950,67,54212,32,24.58,21.13,62181,37655,-31.48
22,25,Grasim Industries,Aditya Birla Group,Diversified,98340,89073,7550,32,7.68,4776,34.78,3253,74733,0.99,249863,29,75698,19,15.87,8.86,23591,106772,-3.17
23,31,"Nayara Energy
                                                      ^",MNC,Oil & gas,97354,93889,921,174,0.95,1840,39.25,2529,18358,0.85,48987,96,21642,75,4.35,6.4,4382,0,0
24,34,GAIL (India),GoI,Oil & Gas,95970,92770,12256,22,12.77,202,1.34,2804,9216,0.14,80013,70,64114,27,20.98,21.37,13935,62828,-2.14
25,26,Mahindra & Mahindra,M&M Group,Auto,94407,90171,6577,34,6.97,5018,34.58,11118,77605,1.65,142586,48,47123,40,16.35,10.93,21297,124049,56.36
26,19,Canara Bank,GoI,Banking,94257,70614,6125,37,6.5,43035,0,182391,1132626,0,1257664,7,61455,30,10.03,0.5,86919,40385,40.02
27,28,Maruti Suzuki India,MNC,Auto,90330,88330,3880,60,4.29,127,2.22,3042,426,0.01,58025,87,55334,31,5.24,5.83,16259,245546,25.97
28,18,Punjab National Bank,GoI,Banking,88571,76242,3861,61,4.36,46823,0,134194,1213606,0,1340471,6,90533,13,4.44,0.29,103144,39633,3.39
29,21,Bank of Baroda,GoI,Banking,87780,73385,7850,31,8.94,38815,0,130229,1185331,0,1343104,5,91868,12,8.37,0.62,0,56318,53.63
30,27,HCL Technologies,Shiv Nadar,Infotech,86785,85651,13499,20,15.55,319,1.55,12636,6343,0.1,70907,78,61914,29,22.2,24.59,112498,291346,-8.28
31,23,Axis Bank,"Diversified
                                              *",Banking,86114,68846,14119,17,16.4,34923,0,112344,1020692,0,1195726,10,118261,9,12.77,1.29,85815,223726,20.59
32,22,Union Bank of India,GoI,Banking,81754,68230,5265,43,6.44,40178,0,119758,1085613,0,1196965,9,66104,24,8.27,0.46,75201,28662,21.74
33,32,Wipro,Azim Premji,Infotech,81416,79312,12230,24,15.02,533,3.19,10384,17593,0.27,85887,64,65403,25,20.35,20.45,247073,284287,-40.42
34,29,Power Finance Corporation,GoI,NBFC,76345,76262,14015,18,18.36,44709,0,6685,660476,9.21,756751,12,71676,20,28.34,9.38,501,30494,-5.58
35,33,Bajaj Finserv,Bajaj Group,NBFC,68439,68406,4557,50,6.66,9629,0,4403,161179,4,227499,35,40247,45,21.86,11.43,114,247652,-3.88
36,35,Samvardhana Motherson International,Vivek Chaand Sehgal,Auto Ancillaries,64663,63536,874,181,1.35,543,12.29,4999,14130,0.69,38062,111,20588,80,7.13,7.47,102422,61194,-49.18
37,37,ITC,"Diversified
                                              *",FMCG,63208,60668,15243,16,24.12,60,0.29,4654,249,0,63473,80,62456,28,25.25,33.49,23829,329683,60.8
38,36,Kotak Mahindra Bank,Uday Kotak,Banking,59051,33740,12089,25,20.47,11553,0,52665,365235,0,546715,16,96665,11,13.14,2.36,90000,365100,-8.57
39,0,"Adani Wilmar
                                                      (**)",Adani Group,Food & Agri Products,53808,51879,804,197,1.49,541,31.15,4494,2701,0.36,10808,200,7606,163,14.2,18.22,2409,79083,153.45
40,42,UltraTech Cement,Aditya Birla Group,Cement,53651,52599,7344,33,13.69,945,8.2,359,11299,0.22,62657,82,50435,35,15.5,14.62,21921,191756,-13.14
41,40,Hindustan Unilever,MNC,FMCG,52909,52446,8879,29,16.78,106,0.84,3846,1043,0.02,53398,90,49061,37,18.38,22.76,8480,554507,6.78
42,38,Jindal Steel & Power,Savitri Devi Jindal,Iron & Steel,51993,51166,5753,40,11.07,1888,13.86,3669,13502,0.38,51135,94,35625,50,20.07,20.68,6200,42641,7.33
43,0,GIC,GoI,Financial Services,49739,49585,2386,81,4.8,0,0,21451,0,0,60045,85,36008,49,6.42,6.61,0,22036,-5.23
44,45,"Hyundai Motor India
                                                      ^",MNC,Auto,48028,47378,2902,72,6.04,132,2.4,14139,1178,0.07,19546,145,16856,94,18.04,20.73,0,0,0
45,46,UPL,R.D. Shroff,"Fert, Agrochem",46655,46240,3626,63,7.77,2295,24.93,6120,26746,1.08,56523,89,24661,68,19.48,14.8,5456,56255,2.02
46,39,Bank of India,GoI,Banking,46373,38281,3493,65,7.53,24083,0,91709,656802,0,745089,13,49540,36,7.48,0.47,51825,20696,4.17
47,44,Power Grid Corporation of India,GoI,Power,46342,41616,16824,14,36.3,8036,22.45,5048,134696,1.77,215226,39,76247,18,19.39,11.25,8536,149824,30.61
48,52,Tata Power Company,Tata Group,Power,46298,43095,1741,97,3.76,3859,59.25,6641,51195,2.28,88375,62,22442,72,9.63,7.9,21636,73763,2.11
