2022,2021,Change,Company,Ownership,Industry,Rs cr,YoY change %,Rs cr,YoY change %,Rs cr,Rank,YoY change %,% of total income,Rs cr,% of Ebitda,Rs cr,Rs cr,(x),Rs cr,Rank,YoY change %,Rs cr,Rank,(%),(%),(in nos),Rank,RS Crore,(%)
1,1,0,Reliance Industries,Mukesh Ambani,Oil & Gas,739518,43.81,699962,49.91,60705,1,23.56,8.21,14584,13.21,36178,319158,0.41,1222627,8,11.54,779485,1,9.17,9.36,342982,2,1681013,0.78
2,NAP,NEW,LIC,GoI,Financial Services,724744,2.99,723606,4.73,4125,57,38.69,0.57,0,NAP,44724,0,0,4182536,2,11.64,11336,130,45.28,0.31,NAVL,NAP,433115,-30.85
3,3,0,Indian Oil Corporation,GoI,Oil & Gas,607365,62.04,589336,61.93,25102,8,16.01,4.13,4301,9.23,1820,132020,0.99,272852,27,16.36,133535,8,20.97,15.29,31254,26,108577,-13.7
4,4,0,ONGC,GoI,Oil & gas,502474,54.51,491270,61.66,45522,2,179.2,9.06,5696,7.32,6841,121986,0.47,444489,17,6.09,259503,3,20.52,14.62,27165,36,188068,-6.05
5,2,-3,State Bank of India,GoI,Banking,406973,5.61,289973,4.26,35374,6,57.88,8.69,156194,NAP,398905,4536571,0,5371426,1,10.64,282210,2,13.61,0.69,245652,6,447533,13.04
6,6,0,Bharat Petroleum Corporation,GoI,Oil & Gas,355772,47.36,346791,50.67,11682,26,-27.74,3.28,2606,13.62,2237,64534,1.24,118219,55,7.94,51906,33,22.15,16.37,8594,118,76165,-24.86
7,5,-2,Tata Motors,Tata Group,Auto,280027,12.7,278454,11.47,-11441,499,0,NAP,9312,38.83,40669,146449,3.29,221106,38,-2.78,44561,41,NAP,1.04,25588,43,160911,-15.05
8,9,1,Tata Steel,Tata Group,Iron & Steel,253797,62.32,243959,55.91,40154,3,436.08,15.82,5462,8.73,15899,75561,0.66,207633,40,14.42,113546,10,44.54,29.16,35927,24,136734,-21.69
9,13,4,Hindalco Industries,Aditya Birla Group,Metals & Mining,206795,52.63,195059,47.76,13730,19,294.2,6.64,3768,13.64,17392,64486,0.82,152037,44,5.58,78191,17,18.97,15.45,21151,58,101778,-14.3
10,7,-3,Tata Consultancy Services,Tata Group,Infotech,195772,17.01,191754,16.8,38327,4,18.18,19.58,784,1.48,18221,7818,0.09,100023,58,2.98,88651,15,44.13,53.97,592195,1,1265497,-6.89
11,10,-1,HDFC Bank,"Diversified
                                              *",Banking,167695,7.58,135936,5.74,38053,5,19.54,22.69,58584,NAP,155386,1784970,0,2122934,3,17.97,247326,4,16.69,1.94,141579,8,802745,-5.72
12,11,-1,Larsen & Toubro,Diversified,Capital Goods,160962,9.27,156521,15.11,8669,30,-25.15,5.39,9235,37.96,18953,125292,1.52,221833,37,-0.78,82408,16,13,11.3,50267,22,252441,14.15
